INSTNM,CITY,STABBR,INSTURL,ADM_RATE,ADM_RATE_ALL,SAT_AVG,ACTCMMID,Agriculture,CIP03BACHL,Architecture,CIP05BACHL,Communications/Journalism,CIP10BACHL,Computer and Information Sciences,Culinary Services,Education,Engineering,CIP15BACHL,CIP16BACHL,CIP19BACHL,Legal Professions and Studies,English Language and Literature,Liberal Arts and Sciences,CIP25BACHL,Biological and Biomedical Sciences,Mathematics and Statistics,CIP29BACHL,CIP30BACHL,CIP31BACHL,Philosophy and Religious Studies,CIP39BACHL,CIP40BACHL,CIP41BACHL,Psychology,CIP43BACHL,CIP44BACHL,Social Sciences,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,Visual and Performing Arts,CIP51BACHL,Business,History,COSTT4_A
Kilian Community College,Sioux Falls,SD,www.kilian.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28125
Dakota State University,Madison,SD,dsu.edu,0.842,0.841968912,1026,22,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,17913
Dakota Wesleyan University,Mitchell,SD,www.dwu.edu,0.7343,0.734254992,1044,23,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1,1,32693
Headlines Academy Inc,Rapid City,SD,www.headlinesacademy.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Lake Area Technical Institute,Watertown,SD,www.lakeareatech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14233
Avera McKennan Hospital School of Radiologic Technology,Sioux Falls,SD,www.avera.org,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Mitchell Technical Institute,Mitchell,SD,https://www.mitchelltech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13398
Mount Marty College,Yankton,SD,www.mtmc.edu,0.7236,0.723557692,990,21,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,34249
National American University-Rapid City,Rapid City,SD,www.national.edu/locations/campuses/rapid-city/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,19157
National American University-Sioux Falls,Sioux Falls,SD,www.national.edu/locations/campuses/sioux-falls/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,16758
Sioux Falls Seminary,Sioux Falls,SD,www.sfseminary.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Northern State University,Aberdeen,SD,www.northern.edu,0.8289,0.828861494,1025,22,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,2,1,18137
Oglala Lakota College,Kyle,SD,www.olc.edu,NULL,NULL,NULL,NULL,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,9264
Presentation College,Aberdeen,SD,www.presentation.edu,0.5695,0.569536424,980,21,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,28361
Avera Sacred Heart Hospital,Yankton,SD,www.averasacredheart.org,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
South Dakota School of Mines and Technology,Rapid City,SD,www.sdsmt.edu,0.8802,0.880181347,1181,26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20994
South Dakota State University,Brookings,SD,www.sdstate.edu/,0.9201,0.920124683,1068,23,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,2,0,1,1,0,1,1,0,0,1,0,1,0,0,2,0,0,0,1,1,2,1,1,19330
Sinte Gleska University,Mission,SD,www.sintegleska.edu,NULL,NULL,NULL,NULL,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,19821
